0, -161.0, 0.0, 69.0, 82.0
1, 102.0, -1.0, 75.0, 73.0
2, -22.0, -1.0, 53.0, 53.0
3, 70.0, 2.0, 66.0, 108.0
4, 84.0, 13.0, 53.0, 80.0
5, -137.0, -35.0, 74.0, 87.0
6, -112.0, -10.0, 83.0, 44.0
7, 112.0, 10.0, 60.0, 78.0
8, -50.0, 3.0, 53.0, 70.0
9, 194.0, 14.0, 63.0, 85.0
10, -192.0, 0.0, 70.0, 84.0
11, -44.0, 24.0, 61.0, 61.0
12, 110.0, -4.0, 75.0, 82.0
13, -125.0, 20.0, 90.0, 56.0
14, -64.0, -16.0, 54.0, 66.0
15, 117.0, 10.0, 51.0, 91.0
16, -155.0, 2.0, 78.0, 63.0
17, 95.0, -3.0, 71.0, 74.0
18, -29.0, 27.0, 55.0, 49.0
19, 13.0, -9.0, 54.0, 74.0
20, 38.0, 3.0, 67.0, 79.0
21, -6.0, 0.0, 67.0, 48.0
22, -137.0, 12.0, 79.0, 54.0
23, -160.0, -2.0, 80.0, 61.0
24, 88.0, 13.0, 64.0, 83.0
25, 112.0, 0.0, 59.0, 91.0
26, -77.0, 26.0, 77.0, 58.0
27, 22.0, -1.0, 62.0, 52.0
28, -187.0, 4.0, 63.0, 69.0
29, -51.0, 11.0, 82.0, 77.0
30, 112.0, 4.0, 74.0, 62.0
31, 124.0, 5.0, 68.0, 75.0
32, -56.0, 9.0, 59.0, 58.0
33, 77.0, -4.0, 57.0, 79.0
34, 116.0, 2.0, 68.0, 79.0
35, -71.0, 9.0, 67.0, 67.0
36, 24.0, 19.0, 60.0, 68.0
37, 55.0, 9.0, 54.0, 58.0
38, -4.0, 4.0, 85.0, 67.0
39, -105.0, 14.0, 55.0, 55.0
40, 10.0, 9.0, 63.0, 60.0
41, -3.0, -16.0, 70.0, 72.0
42, 128.0, 1.0, 65.0, 61.0
43, -18.0, -1.0, 73.0, 79.0
44, 7.0, 9.0, 74.0, 65.0
45, 116.0, 8.0, 66.0, 67.0
46, -99.0, 2.0, 68.0, 78.0
47, -187.0, -9.0, 53.0, 70.0
48, 173.0, 5.0, 70.0, 84.0
49, -169.0, -9.0, 87.0, 72.0
